creator_handle,channel_url,subscriber_count,contact_method,personalized_hook,template_filename,lifetime_code
@WarzoneWreckingCrew (Cpt Hedgehog / QB),https://www.youtube.com/@WarzoneWreckingCrew,25000-40000 (est),discord (WWC Discord via cpt-hedge.com),Cpt-hedge.com builder peer / S6 City Clash & Faction Clash guide,SEND-EMAIL-TEMPLATES.md#youtube-1-hedgehog,HEDGE-WWC-R5T-LIFETIME
@LastWarTutorial,https://www.youtube.com/@LastWarTutorial,20000-30000 (est),business_email (lastwartutorial.com contact form),Season 2 Ultimate Strategy Guide AF Day-1 framing,SEND-EMAIL-TEMPLATES.md#youtube-2-lwt,LWT-TUTORIAL-R5T-LIFETIME
@MikiesProductions,https://www.youtube.com/@MikiesProductions,15000-25000 (est),business_email (YouTube About),RSW Round 5 War Stage live-play + Warlord Missile 25x25 blast callout,SEND-EMAIL-TEMPLATES.md#youtube-3-mikie,MIKIE-PROD-R5T-LIFETIME
@Wardawgg-lastwar,https://www.youtube.com/@Wardawgg-lastwar,8000-15000 (est),business_email (wardawgg.com contact),S6 tier list Kimberly-attack correction,SEND-EMAIL-TEMPLATES.md#youtube-4-wardawgg,WARDAWGG-R5T-LIFETIME
@SurvivorMike,https://www.youtube.com/@SurvivorMike,5000-15000 (est),business_email (YouTube About),Stages 1-20 beginner walkthrough,SEND-EMAIL-TEMPLATES.md#youtube-5-survmike,SURVMIKE-R5T-LIFETIME
@lastwarfazol,https://www.youtube.com/@lastwarfazol,10000-20000 (est),business_email (YouTube About),Base-building series why-of-placement,SEND-EMAIL-TEMPLATES.md#youtube-6-fazol,FAZOL-R5T-LIFETIME
Last War Survival Game Tips,https://www.youtube.com/channel/UCzVrova65qfrug5Fgyloq5A,5000-15000 (est),business_email (YouTube About),Short-form Ministry gate / phase-stack tips,SEND-EMAIL-TEMPLATES.md#youtube-7-lwsgametips,LWSGAMETIPS-R5T-LIFETIME
Bacon's Guide to Last Z (creator),https://www.youtube.com/playlist?list=PLwXDdqR0p-IVU5aWFbzU7bu7bgDNN0JTM,5000-10000 (est),business_email (YouTube About),Beginner's Guide - why joining an alliance matters Day 1,SEND-EMAIL-TEMPLATES.md#youtube-8-beginner,BEGINNER-R5T-LIFETIME
Last War Server 3,https://www.youtube.com/channel/UCbmQsPBz8g-HH5TfwP-SsfA,5000-12000 (est),business_email (YouTube About),Server 3 alliance war coverage real-R5 POV,SEND-EMAIL-TEMPLATES.md#youtube-9-server3,SERVER3-R5T-LIFETIME
Druzhba Last War,https://www.youtube.com/channel/UCuo2XwE5Mt1rP2qys7Oi6eQ,5000-12000 (est),business_email (YouTube About),RU base-building and defense - offer RU i18n pass,SEND-EMAIL-TEMPLATES.md#youtube-10-druzhba,DRUZHBA-R5T-LIFETIME
Last War Espanol (Serie Completa),https://www.youtube.com/playlist?list=PLYFN3FykZlxNDJd0GRGG_PEVBuovzdupT,5000-15000 (est),business_email (YouTube About),Serie Completa S2 Polar Storm AF placement / -20C window,SEND-EMAIL-TEMPLATES.md#youtube-11-espanol,ESPANOL-R5T-LIFETIME
Frontline Breakthrough 3180 SCORE creator,https://www.youtube.com/watch?v=wRSigA8Gzys,3000-8000 (est),business_email + video comment,3180 FLB July 12 highest public score,SEND-EMAIL-TEMPLATES.md#youtube-12-flbreak,FLBREAK-R5T-LIFETIME
Sunday FLB weekly runs creator,https://www.youtube.com/watch?v=T7RQ4lOv9S8,3000-8000 (est),business_email + video comment,Weekly Sunday FLB runs (3440 July 5 / 3106 July 12),SEND-EMAIL-TEMPLATES.md#youtube-13-sundayflb,SUNDAYFLB-R5T-LIFETIME
S6 Cities Destruction creator,https://www.youtube.com/watch?v=05gtFxnUYxo,5000-15000 (est),business_email + pinned comment check,Destroying Cities S6 destroy-first hold-second framing,SEND-EMAIL-TEMPLATES.md#youtube-14-s6city,S6CITY-R5T-LIFETIME
Fatal Mistakes S6 creator,https://www.youtube.com/watch?v=pxgAmEfvKzU,5000-15000 (est),business_email + pinned comment check,Fatal Mistakes S6 - faction lock warning cited,SEND-EMAIL-TEMPLATES.md#youtube-15-fatalS6,FATAL-S6-R5T-LIFETIME
Last War KR playlist channel,https://www.youtube.com/playlist?list=PLZc2XiLRM8eqjRvVjYNQjlw4BlSD3FkGq,3000-10000 (est),business_email + KakaoTalk/Naver Cafe if linked,KR channel S2 resource management (KO template),SEND-EMAIL-TEMPLATES.md#youtube-16-kr-playlist,LWS-KR-PLAYLIST-LIFETIME
Last War Jaryo (KR),https://www.youtube.com/playlist?list=PLaE9jakrFVBQdjCnT6UWQiA90G9WUiOdR,5000-15000 (est),business_email + Naver Cafe/KakaoTalk,KR mechanics deep-dive series (KO template),SEND-EMAIL-TEMPLATES.md#youtube-17-kr-jaryo,KR-JARYO-R5T-LIFETIME
Last War Choejeonseondolpa (KR shorts),https://www.youtube.com/shorts/l2RYGnOpCQA,3000-8000 (est),business_email + TikTok cross-ref,KR FLB 30-second shorts (KO template),SEND-EMAIL-TEMPLATES.md#youtube-18-kr-shorts,SHORTS-CJD-R5T-LIFETIME
Cities Distortion S6 (KR/EN),https://www.youtube.com/watch?v=LMldj65y_ic,3000-10000 (est),business_email + video comment,S6 Cities Distortion factional visual (KO template),SEND-EMAIL-TEMPLATES.md#youtube-19-cities-s6,CITIES-S6-R5T-LIFETIME
Warlord Missile S2 short creator,https://www.youtube.com/shorts/YRlrqptpnlk,3000-8000 (est),business_email + short comment,S2 Warlord Missile Quick Look definitive 60s explainer,SEND-EMAIL-TEMPLATES.md#youtube-20-warlord,WARLORD-S2-R5T-LIFETIME
